,location,city,latitude,longitude
543,DHA Defence,Lahore,31.519248,74.445901
546,Mehmood Booti,Lahore,31.605143156574,74.3901014328
547,Gulberg,Lahore,31.521154,74.35136700000001
548,Gulberg,Lahore,31.522361,74.347172
550,Gulberg,Lahore,31.522361,74.347173
553,Township,Lahore,31.451804,74.310436
554,Kot Lakhpat,Lahore,31.458035,74.33581
555,Pakki Thatti,Lahore,31.532565169823,74.289628565311
556,Mughalpura,Lahore,31.565057881153,74.373235031962
557,Township,Lahore,31.457976,74.32028000000001
558,Chungi Amar Sadhu,Lahore,31.450925,74.354287
559,Canal View,Lahore,31.478159,74.254017
560,Bahria Town,Lahore,31.379489000000003,74.185926
561,Al-Hafiz Town,Lahore,31.508595,74.249121
562,Cantt,Lahore,31.540591,74.379937
563,Sabzazar Scheme,Lahore,31.523532,74.26374399999999
564,DHA Defence,Lahore,31.47982,74.47693000000001
565,Cantt,Lahore,31.49858,74.40926999999999
566,Gulshan-e-Lahore,Lahore,31.424488,74.25245799999999
567,Johar Town,Lahore,31.448802,74.273844
568,Qadri Colony,Lahore,31.484820000000003,74.367471
570,Township,Lahore,31.453414,74.31623
571,Tariq Gardens,Lahore,31.420094,74.254174
572,Hameedpura,Lahore,31.579632,74.403275
573,Johar Town,Lahore,31.462347,74.293642
574,Empress Road,Lahore,31.56976,74.335463
575,Johar Town,Lahore,31.472806362108003,74.286321401596
576,Khayaban-e-Jinnah Road,Lahore,31.436474895687,74.26094055154
578,Ahmad Housing Society,Lahore,31.491380025790004,74.250894784927
579,Jallo Park Road,Lahore,31.579015,74.48308
581,Green Cap Housing Society,Lahore,31.398679377595,74.354968070766
582,Bismillah Housing Scheme,Lahore,31.598386,74.48082099999999
583,Fateh Garh,Lahore,31.566314252841,74.408243894577
584,Mustafa Town,Lahore,31.495579,74.273386
585,DHA Defence,Lahore,31.508679,74.437326
586,Model Town,Lahore,31.48944048556,74.319924116135
588,PCSIR Housing Scheme,Lahore,31.453268014244,74.266304075718
589,Military Accounts Housing Society,Lahore,31.418443504920003,74.282971322536
591,GT Road,Lahore,31.597241138821,74.474582970142
592,Harbanspura Road,Lahore,31.560697,74.42132600000001
594,Jubilee Town,Lahore,31.409802000000003,74.193678
595,Park View Villas,Lahore,31.455172,74.202454
597,Township,Lahore,31.444334,74.304698
598,Cantt,Lahore,31.492682,74.42323
600,Sant Nagar,Lahore,31.569505,74.295473
601,Ferozepur Road,Lahore,31.502167,74.33344
602,Al Rehman Garden,Lahore,31.598824,74.228218
604,Askari,Lahore,31.537605,74.419
605,Samanabad,Lahore,31.538054,74.29890999999999
606,Harbanspura,Lahore,31.57662254607,74.418978430331
607,Johar Town,Lahore,31.474389,74.269123
609,Bahria Town,Lahore,31.368955,74.179244
610,Township,Lahore,31.480123613423,74.321779869497
611,Allama Iqbal Town,Lahore,31.513289,74.293585
612,Lalazar,Lahore,31.466167,74.244961
613,Cantt,Lahore,31.497161812706,74.413779973984
616,Ashraf Garden,Lahore,31.588834,74.471097
617,Johar Town,Lahore,31.455867,74.274273
618,Samanabad,Lahore,31.53425,74.30073
624,Al-Kabir Town,Lahore,31.364343,74.213113
626,Nishat Colony,Lahore,31.496092,74.39323399999999
627,College Road,Lahore,31.422981,74.28193
628,Canal View,Lahore,31.478928000000003,74.253373
629,Aashiana Road,Lahore,31.428051,74.37968000000001
631,EME Society,Lahore,31.431007,74.210658
632,Ali View Park,Lahore,31.494262,74.400187
633,Divine Gardens,Lahore,31.502385,74.414506
635,Rail Town (Canal City),Lahore,31.441643737814,74.20201420784001
636,Bahria Nasheman,Lahore,31.320611,74.403269
639,Ghaziabad,Lahore,31.557474,74.395108
640,Shadbagh,Lahore,31.602644,74.340019
641,Sabzazar Scheme,Lahore,31.520605,74.261212
642,Kahna,Lahore,31.373864,74.362316
644,Bahria Nasheman,Lahore,31.320354,74.403441
645,Paragon City,Lahore,31.534067,74.45394499999999
646,Doctors Housing Society,Lahore,31.461139000000003,74.233675
649,Canal View,Lahore,31.476597,74.2563
652,Aashiana Road,Lahore,31.428051,74.379676
654,Vital Homes Housing Scheme,Lahore,31.427946,74.343731
655,Bilal Gunj,Lahore,31.580583,74.301438
657,Paragon City,Lahore,31.528283,74.463143
660,DHA Defence,Karachi,24.821639,67.071691
662,DHA Defence,Karachi,24.834337,67.055397
663,DHA Defence,Karachi,24.784877554782,67.064790464938
665,Bahria Town Karachi,Karachi,25.065275,67.313384
671,DHA Defence,Karachi,24.790250114127,67.080857231886
673,Northern Bypass,Karachi,25.075881668591,67.106037139893
676,Gulistan-e-Jauhar,Karachi,24.923999,67.13414
677,Zamzama,Karachi,24.823782,67.039905
678,Northern Bypass,Karachi,25.07576,67.10541500000001
679,Federal B Area,Karachi,24.929992,67.054489
680,Bahria Town Karachi,Karachi,25.071948000000003,67.338656
681,Jamshed Town,Karachi,24.859299,67.055311
682,Bahria Town Karachi,Karachi,24.997970581055004,67.30999755859399
684,Bahria Town Karachi,Karachi,25.006938,67.308037
